client_lname,rec_num,cl_id,cl_type,description,ws_num,ws_wt_bottle_full,ws_wt_bottle_empty,ws_co2_yield,ws_delta_c13,osg_num,gf_co2_qty,tp_num,dc13,dc13_sample,f_modern,f_int_error,f_ext_error,seawater_dc14,wheel_id,ws_strip_date,ws_comments,q_flag,norm_ratio,int_err,ext_err,fm_corr,sig_fm_corr,lg_blk_fm,sig_lg_blk_fm,ws_line_num
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43205,235.75,145.88,0.154220462,0.888000011,183875,135.8000031,244770,0.888000011,0.888000011,0.938730351,0.002586515,0.002586515,-68.85,USAMS101919,05:34.7,121,,0.938835039,0.002003466,0.002583307,0.938730351,0.002586515,0.001078139,0.000539069,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43213,247.3099976,145.88,0.20328927,0.875,183881,36.59999847,244776,0.875,0.875,0.946609965,0.002211178,0.002211178,-61.03,USAMS101919,08:06.1,126,,0.946706491,0.002208361,0.001558765,0.946609965,0.002211178,0.001078139,0.000539069,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43211,249.2299957,145.88,0.221650511,0.870000005,183882,40.70000076,244777,0.870000005,0.870000005,0.941536258,0.002001359,0.002001359,-66.06,USAMS101919,07:32.5,125,,0.941638039,0.001940101,0.00199864,0.941536258,0.002001359,0.001078139,0.000539069,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43243,235.7400055,145.8795,0.194034636,0.86500001,183961,170,245086,0.829999983,0.829999983,0.936810614,0.002319782,0.002783738,-70.75,USAMS102619,46:42.2,139. run as OC-no archive.,,0.936902717,0.00231725,0.001308478,0.936810614,0.002319782,0.000930724,0.000465362,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",44001,258.0100098,145.8795,0.237589896,0.978999972,186572,45.09999847,248554,0.978999972,0.978999972,0.94622978,0.002231887,0.002231887,-61.41,USAMS021120,48:04.0,64,,0.946356685,0.002227959,0.00091922,0.94622978,0.002231887,0.00141214,0.00070607,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43521,255.3800049,145.8795,0.226818189,1.027999997,185183,40.20000076,246640,1.027999997,1.027999997,0.936958682,0.00336865,0.00336865,-70.6,USAMS121619,01:51.0,"56. New technique.  Pump out top of probe, refill with RN2.",,0.937076338,0.003364283,0.002179954,0.936958682,0.00336865,0.001190957,0.000595478,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43452,249.4799957,145.8795,0.224361792,0.677999973,184944,42.09999847,246353,0.677999973,0.677999973,0.94465338,0.002786307,0.002786307,-62.97,USAMS120619,55:17.4,128,,0.944851158,0.002778764,0.002656024,0.94465338,0.002786307,0.002165898,0.001082949,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43917,252.7200012,145.8795,0.222198069,0.860000014,186271,41.20000076,248114,0.860000014,0.860000014,0.944524129,0.002532946,0.002532946,-63.1,USAMS012920,55:21.7,61,,0.944589892,0.002530984,0.002187998,0.944524129,0.002532946,0.000718211,0.000359106,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43450,246.5299988,145.8795,0.20902133,0.825999975,184941,38.70000076,246236,0.825999975,0.825999975,0.939480781,0.002044058,0.002044058,-68.1,CFAMS120319,54:35.8,127,,0.939731541,0.001798619,0.00203511,0.939480781,0.002044058,0.00260562,0.00130281,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43519,252.4100037,145.8795,0.210178301,1.06099999,185181,37.20000076,246641,1.06099999,1.06099999,0.939760622,0.002760872,0.002760872,-67.83,USAMS121619,00:34.5,"55. New technique.  Pump out top of probe, refill with RN2.",,0.939875073,0.002722411,0.002757121,0.939760622,0.002760872,0.001190957,0.000595478,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43253,235.0599976,145.88,0.178558439,0.837000012,184001,160.6999969,245118,0.802999973,0.802999973,0.94152458,0.002504854,0.003005824,-66.08,USAMS102619,49:09.5,140. run as OC-no archive.,,0.941612468,0.002502228,0.002093753,0.94152458,0.002504854,0.000930724,0.000465362,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43303,244.4900055,145.8795,0.213015303,0.806999981,184252,40.09999847,245383,0.806999981,0.806999981,0.938375242,0.002447355,0.002447355,-69.2,USAMS110619,50:37.5,144,,0.93848229,0.002444187,0.002368157,0.938375242,0.002447355,0.001098601,0.000549301,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43279,252.6100006,145.8795,0.226423711,0.88499999,184168,42.70000076,245140,0.88499999,0.88499999,0.937008798,0.001897373,0.001897373,-70.55,CFAMS102919,42:35.4,141,,0.937209926,0.001890999,0.001662102,0.937008798,0.001897373,0.00203853,0.001019265,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",43024,250.25,145.8795,0.21337153,0.894999981,182823,40.59999847,243442,0.894999981,0.894999981,0.938633748,0.002927224,0.002927224,-68.94,USAMS091119,41:52.6,sm probe,,0.938749132,0.002923318,0.002321192,0.938633748,0.002927224,0.001187283,0.000593642,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",41879,260.1700134,145.879,0.240268528,0.964999974,178487,44.5,237721,0.964999974,0.964999974,0.930117124,0.001964976,0.001964976,-77.39,CFAMS032919,06:52.9,,,0.930351675,0.001957278,0.00147234,0.930117124,0.001964976,0.002228325,0.001114162,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42008,262.5299988,145.8795,0.249794856,1.016000032,179001,46.70000076,238503,1.016000032,1.016000032,0.940625693,0.001866364,0.001866364,-66.97,CFAMS041719,34:50.3,,,0.940788401,0.001861531,0.001148744,0.940625693,0.001866364,0.001708728,0.000854364,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42039,47,0,0.097800002,1.105000019,179115,87.19999695,238725,1.105000019,1.105000019,0.938046756,0.001908584,0.001908584,-69.53,CFAMS042319,09:59.3,"Bottle 35, REX 525",,0.938303855,0.001899438,0.001751724,0.938046756,0.001908584,0.002633905,0.001316953,10
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42040,47,0,0.0977,1.103000045,179116,86.90000153,238724,1.103000045,1.103000045,0.941234386,0.001917166,0.001917166,-66.36,CFAMS042319,11:24.9,"Bottle 33, REX 526",,0.94148343,0.001902007,0.001908284,0.941234386,0.001917166,0.002633905,0.001316953,10
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42041,47,0,0.099370807,1.10800004,179117,87.69999695,238720,1.10800004,1.10800004,0.938955593,0.001938239,0.001938239,-68.62,CFAMS042319,12:05.6,"Bottle 34, REX 527",,0.939210395,0.001892251,0.001929161,0.938955593,0.001938239,0.002633905,0.001316953,10
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42042,47,0,0.0973,1.080000043,179118,86.90000153,238723,1.080000043,1.080000043,0.93708876,0.001926418,0.001926418,-70.48,CFAMS042319,12:46.6,"Bottle 36, REX 528",,0.937348279,0.001917186,0.001624208,0.93708876,0.001926418,0.002633905,0.001316953,10
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42043,47,0,0.098399997,1.067000031,179119,87.80000305,238722,1.067000031,1.067000031,0.94097088,0.001918949,0.001918949,-66.62,CFAMS042319,13:54.2,"Bottle 37, REX 529",,0.94122059,0.001910045,0.000818904,0.94097088,0.001918949,0.002633905,0.001316953,10
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42044,47,0,0.099100001,1.093000054,179120,87,238721,1.093000054,1.093000054,0.941066497,0.002296926,0.002296926,-66.53,CFAMS042319,14:32.1,"Bottle 38, REX 530",,0.941315966,0.001815055,0.002287741,0.941066497,0.002296926,0.002633905,0.001316953,10
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42045,47,0,0.095399998,1.088999987,179121,87.80000305,238726,1.088999987,1.088999987,0.945078173,0.001930873,0.001930873,-62.55,CFAMS042319,15:11.1,"Bottle 39, REX 531",,0.945317505,0.001922292,0.001187784,0.945078173,0.001930873,0.002633905,0.001316953,10
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42046,47,0,0.098099999,1.103999972,179122,85.90000153,238718,1.103999972,1.103999972,0.938384106,0.001899275,0.001899275,-69.19,CFAMS042319,15:45.1,"Bottle 40, REX 532",,0.938640353,0.001890161,0.000972625,0.938384106,0.001899275,0.002633905,0.001316953,10
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42047,47,0,0.078699999,0.822000027,179123,68.40000153,238717,0.822000027,0.822000027,0.942820196,0.001919713,0.001919713,-64.79,CFAMS042319,16:11.4,"Bottle 41, REX 533",,0.943065234,0.001910959,0.001466718,0.942820196,0.001919713,0.002633905,0.001316953,10
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42048,47,0,0.0964,1.034999967,179124,84.59999847,238716,1.034999967,1.034999967,0.940240583,0.001914592,0.001914592,-67.35,CFAMS042319,16:43.5,"Bottle 42, REX 534",,0.940492139,0.001905629,0.001484772,0.940240583,0.001914592,0.002633905,0.001316953,10
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42188,257.9500122,145.8795,0.203492388,1.001000047,179611,38.70000076,239573,1.001000047,1.001000047,0.947535105,0.002160888,0.002160888,-60.11,USAMS051619,31:58.2,btl 4,,0.947718811,0.002154636,0.000912486,0.947535105,0.002160888,0.002074437,0.001037219,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42157,262,145.8795,0.22732456,0.981000006,179510,43.5,239255,0.981000006,0.981000006,0.940189112,0.002129957,0.002129957,-67.4,USAMS050919,06:12.5,btl 1,,0.94037759,0.002049284,0.002123845,0.940189112,0.002129957,0.00197118,0.00098559,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42118,253.5899963,145.8795,0.29794234,-6.888999939,179311,55.40000153,238815,-6.888999939,-6.888999939,0.708860136,0.001535886,0.001535886,-296.86,CFAMS042619,58:31.4,Strange 13C and high TCO2.  Weird sample. USGS sample?,,0.709441361,0.001444772,0.001505493,0.708860136,0.001535886,0.001829399,0.000914699,2
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42094,249.3999939,,0.207866356,0.921999991,179257,37.09999847,238814,0.921999991,0.921999991,0.939675687,0.001824184,0.001824184,-67.91,CFAMS042619,56:13.6,,,0.939851534,0.001818864,0.001542376,0.939675687,0.001824184,0.001829399,0.000914699,3
Standard,148045,ARM23-01 Sta. 28 3000 m,Cast HC28 100 ml,"Standard, ARM23-01 Sta. 28 3000 m, Cast HC28 100 ml",42095,257.1600037,,0.187595725,0.967000008,179258,33.5,238813,0.967000008,0.967000008,0.938844294,0.001815021,0.001815021,-68.73,CFAMS042619,56:34.5,,,0.939021601,0.001809671,0.001007862,0.938844294,0.001815021,0.001829399,0.000914699,3
